iter	RMSE
0	0.3994683351
1	0.3914451202
2	0.3839411497
3	0.3767011369
4	0.3696587124
5	0.362773553
6	0.3560294469
7	0.3492372567
8	0.3431190567
9	0.3370385216
10	0.3315499897
11	0.326174894
12	0.3201018572
13	0.3146039011
14	0.3094044881
15	0.3047582797
16	0.2996479023
17	0.2944382706
18	0.2897382751
19	0.2846935211
20	0.2803682701
21	0.2757068392
22	0.271474353
23	0.2673401305
24	0.2633000569
25	0.259362751
26	0.2553431944
27	0.2511819455
28	0.2476504408
29	0.2439749308
30	0.2404039325
31	0.2369917048
32	0.2334282574
33	0.2300833092
34	0.2269417502
35	0.2239581265
36	0.2208815482
37	0.2178413741
38	0.2149873095
39	0.2124311543
40	0.2097510342
41	0.2074076428
42	0.2049603962
43	0.2025247519
44	0.2001099577
45	0.1978803724
46	0.1957107009
47	0.1935609844
48	0.1915359003
49	0.1893632356
50	0.1871271102
51	0.185074853
52	0.1830412737
53	0.1811385161
54	0.1794617143
55	0.1777903775
56	0.1760291525
57	0.1743105118
58	0.1727324983
59	0.1711530312
60	0.1695025708
61	0.1678436746
62	0.1665470321
63	0.1651119161
64	0.1637018616
65	0.1622564825
66	0.1609152103
67	0.159591311
68	0.158274469
69	0.1570876072
70	0.155756272
71	0.1545148638
72	0.1533466853
73	0.1523146961
74	0.1512673462
75	0.1500517896
76	0.1489849404
77	0.1478869765
78	0.1467587107
79	0.1457644439
80	0.1447941012
81	0.1438274198
82	0.1428010655
83	0.1418778421
84	0.1408545305
85	0.1399107381
86	0.1390800007
87	0.138251856
88	0.1373821872
89	0.1365540814
90	0.1356745032
91	0.134735497
92	0.1338749846
93	0.1330790707
94	0.1323632918
95	0.1316754945
96	0.1310988066
97	0.1304168555
98	0.129692369
99	0.1290471591
100	0.1283646904
101	0.1276793259
102	0.1270918888
103	0.1265112528
104	0.1259112827
105	0.125276072
106	0.1246467525
107	0.1240767887
108	0.1234768059
109	0.1228954738
110	0.1224014009
111	0.1217122796
112	0.1211308469
113	0.1207397004
114	0.1201511576
115	0.119614758
116	0.1190866945
117	0.1186012141
118	0.1181191803
119	0.1177167251
120	0.1172011902
121	0.1168368273
122	0.1163829353
123	0.1158670866
124	0.1153035173
125	0.1148371922
126	0.1144997177
127	0.1141441739
128	0.113663304
129	0.113313887
130	0.1129043618
131	0.1123859663
132	0.1119253244
133	0.1115945973
134	0.1111777689
135	0.1107974593
136	0.1104178853
