iter	Passed	Remaining
410	4319	27210
411	4329	27199
412	4340	27185
413	4350	27174
414	4360	27160
415	4371	27155
416	4382	27146
417	4392	27133
418	4402	27122
419	4413	27112
420	4423	27098
421	4434	27092
422	4445	27083
423	4455	27067
424	4465	27055
425	4475	27040
426	4485	27028
427	4495	27016
428	4506	27006
429	4516	26993
430	4527	26984
431	4537	26972
432	4548	26962
433	4558	26949
434	4568	26936
435	4579	26928
436	4589	26916
437	4599	26905
438	4610	26894
439	4620	26883
440	4632	26880
441	4645	26883
442	4656	26880
443	4669	26880
444	4680	26871
445	4690	26861
446	4700	26847
447	4711	26841
448	4721	26828
449	4731	26814
450	4744	26812
451	4754	26799
452	4764	26788
453	4775	26780
454	4785	26765
455	4796	26760
456	4807	26750
457	4816	26734
458	4827	26726
459	4838	26718
460	4849	26707
461	4859	26697
462	4870	26688
463	4880	26674
464	4891	26664
465	4901	26652
466	4911	26640
467	4922	26630
468	4932	26616
469	4943	26608
470	4954	26600
471	4964	26587
472	4975	26581
473	4986	26575
474	4996	26562
475	5008	26557
476	5018	26544
477	5028	26532
478	5039	26524
479	5050	26515
480	5063	26515
481	5073	26504
482	5085	26499
483	5095	26486
484	5105	26476
485	5115	26463
486	5126	26452
487	5136	26441
488	5146	26429
489	5157	26420
490	5169	26413
491	5179	26401
492	5191	26397
493	5202	26389
494	5212	26380
495	5225	26379
496	5236	26374
497	5247	26365
498	5258	26355
499	5269	26346
500	5279	26335
501	5290	26327
502	5301	26317
503	5311	26306
504	5322	26295
505	5333	26285
506	5343	26272
507	5354	26266
508	5365	26260
509	5375	26247
510	5387	26241
511	5398	26232
512	5408	26221
513	5419	26210
514	5430	26201
515	5441	26192
516	5451	26183
517	5463	26177
518	5485	26220
519	5504	26253
520	5525	26289
521	5540	26300
522	5552	26295
523	5562	26281
524	5571	26266
525	5581	26252
526	5590	26233
527	5601	26225
528	5611	26212
529	5620	26195
530	5631	26182
531	5640	26165
532	5650	26151
533	5659	26136
534	5668	26118
535	5679	26106
536	5688	26090
537	5698	26076
538	5708	26062
539	5720	26059
540	5732	26057
541	5746	26060
542	5757	26050
543	5769	26047
544	5781	26043
545	5793	26038
546	5804	26031
547	5816	26027
548	5828	26021
549	5839	26011
550	5850	26004
551	5861	25992
552	5872	25983
553	5882	25972
554	5893	25962
555	5903	25950
556	5914	25940
557	5925	25933
558	5936	25922
559	5947	25913
560	5957	25901
561	5966	25884
562	5976	25871
563	5986	25856
564	5998	25853
565	6011	25850
566	6022	25841
567	6035	25843
568	6047	25838
569	6059	25834
570	6071	25828
571	6081	25816
572	6092	25806
573	6104	25802
574	6116	25793
575	6126	25784
576	6138	25777
577	6149	25767
578	6161	25762
579	6174	25762
580	6186	25756
581	6196	25744
582	6208	25740
583	6220	25733
584	6231	25725
585	6242	25716
586	6252	25703
587	6262	25690
588	6273	25680
589	6283	25665
590	6292	25650
591	6303	25638
592	6314	25632
593	6325	25620
594	6336	25610
595	6346	25597
596	6357	25588
597	6369	25583
598	6379	25569
599	6389	25558
600	6399	25545
601	6411	25538
602	6421	25527
603	6432	25515
604	6442	25502
605	6452	25491
606	6463	25480
607	6472	25466
608	6484	25459
609	6495	25449
610	6507	25444
611	6518	25435
612	6528	25421
613	6541	25418
614	6554	25420
615	6568	25419
616	6580	25415
617	6592	25410
618	6609	25424
619	6622	25421
620	6635	25419
621	6651	25429
622	6662	25421
623	6673	25411
624	6686	25407
625	6697	25400
626	6708	25390
627	6719	25381
628	6731	25374
629	6743	25369
630	6754	25358
631	6765	25350
632	6776	25339
633	6787	25330
634	6806	25350
635	6821	25354
636	6832	25345
637	6843	25336
638	6855	25331
639	6866	25321
640	6877	25308
641	6887	25297
642	6897	25283
643	6907	25270
644	6917	25255
645	6926	25240
646	6936	25225
647	6945	25209
648	6955	25196
649	6967	25190
650	6978	25179
651	6988	25167
652	6999	25155
653	7008	25140
654	7018	25128
655	7028	25114
656	7038	25100
657	7048	25087
658	7058	25073
659	7069	25063
660	7079	25051
661	7089	25039
662	7100	25028
663	7110	25013
664	7121	25004
665	7133	24998
666	7143	24986
667	7153	24974
668	7165	24967
669	7175	24954
670	7186	24942
671	7196	24932
672	7206	24919
673	7217	24908
674	7228	24897
675	7238	24884
676	7248	24873
677	7259	24861
678	7269	24850
679	7281	24842
680	7292	24831
681	7303	24821
682	7313	24811
683	7324	24799
684	7334	24788
685	7345	24777
686	7355	24764
687	7366	24753
688	7377	24744
689	7387	24733
690	7399	24725
691	7410	24715
692	7420	24703
693	7431	24692
694	7441	24681
695	7451	24668
696	7463	24659
697	7473	24646
698	7483	24635
699	7495	24627
700	7505	24615
701	7516	24605
702	7528	24597
703	7538	24584
704	7548	24573
705	7559	24563
706	7569	24550
707	7580	24540
708	7592	24534
709	7603	24525
710	7615	24517
711	7627	24510
712	7639	24502
713	7649	24490
714	7661	24483
715	7672	24473
716	7682	24460
717	7693	24451
718	7705	24444
719	7716	24436
720	7727	24427
721	7738	24417
722	7749	24405
723	7760	24395
724	7771	24387
725	7781	24374
726	7793	24367
727	7804	24358
728	7814	24345
729	7825	24335
730	7836	24324
731	7847	24312
732	7858	24303
733	7869	24293
734	7879	24280
735	7890	24271
736	7901	24261
737	7911	24250
738	7922	24239
739	7932	24226
740	7944	24219
741	7956	24211
742	7968	24206
743	7980	24197
744	7993	24195
745	8006	24192
746	8019	24188
747	8030	24176
748	8041	24166
749	8052	24158
750	8063	24147
751	8083	24164
752	8093	24152
753	8115	24173
754	8140	24204
755	8158	24217
756	8175	24223
757	8186	24215
758	8196	24200
759	8206	24186
760	8214	24169
761	8224	24155
762	8235	24143
763	8245	24131
764	8256	24121
765	8267	24110
766	8281	24110
767	8294	24105
768	8307	24102
769	8319	24094
770	8330	24084
771	8342	24077
772	8354	24067
773	8364	24057
774	8375	24046
775	8386	24036
776	8396	24023
777	8407	24012
778	8419	24003
779	8429	23992
780	8442	23988
781	8454	23980
782	8466	23970
783	8477	23962
784	8488	23951
785	8499	23940
786	8508	23925
787	8518	23913
788	8528	23898
789	8538	23886
790	8549	23875
791	8561	23867
792	8573	23859
793	8584	23849
794	8593	23835
795	8604	23825
796	8617	23818
797	8627	23807
798	8637	23794
799	8649	23785
800	8659	23773
801	8670	23763
802	8681	23752
803	8692	23743
804	8704	23733
805	8714	23722
806	8724	23708
807	8735	23698
808	8746	23688
809	8756	23675
810	8767	23665
811	8778	23654
812	8788	23642
813	8799	23631
814	8810	23619
815	8820	23608
816	8831	23597
817	8841	23584
818	8851	23571
819	8862	23560
820	8871	23546
821	8882	23535
822	8893	23524
823	8903	23511
824	8922	23521
825	8933	23511
826	8944	23502
827	8955	23491
828	8968	23487
829	8979	23477
830	8989	23463
831	9000	23452
832	9010	23440
833	9020	23426
834	9030	23415
835	9041	23404
836	9051	23390
837	9061	23378
838	9071	23365
839	9081	23353
840	9092	23343
841	9103	23331
842	9114	23321
843	9124	23309
844	9135	23298
845	9146	23287
846	9156	23276
847	9167	23264
848	9178	23253
849	9189	23242
850	9199	23231
851	9210	23220
852	9220	23207
853	9231	23197
854	9242	23186
855	9252	23173
856	9263	23163
857	9274	23154
858	9284	23142
859	9295	23130
860	9305	23119
861	9316	23107
862	9328	23098
863	9338	23087
864	9349	23075
865	9361	23067
866	9371	23056
867	9381	23043
868	9392	23031
869	9402	23020
870	9413	23008
871	9424	22999
872	9446	23015
873	9468	23031
874	9484	23034
875	9498	23030
876	9508	23017
877	9518	23004
878	9528	22992
879	9537	22977
880	9548	22966
881	9557	22951
882	9567	22938
883	9577	22924
884	9586	22909
885	9596	22898
886	9606	22883
887	9617	22874
888	9627	22861
889	9636	22846
890	9646	22834
891	9657	22821
892	9666	22806
893	9676	22796
894	9687	22783
895	9697	22771
896	9707	22759
897	9717	22747
898	9728	22735
899	9740	22727
900	9751	22718
901	9764	22711
902	9776	22703
903	9788	22694
904	9799	22685
905	9812	22678
906	9825	22672
907	9838	22668
908	9850	22659
909	9862	22652
910	9875	22644
911	9886	22635
912	9897	22623
913	9908	22614
914	9919	22603
915	9931	22594
916	9941	22582
917	9953	22573
918	9963	22561
919	9977	22556
920	9988	22546
921	9997	22532
922	10008	22521
923	10018	22509
924	10028	22496
925	10039	22486
926	10049	22472
927	10059	22460
928	10070	22449
929	10079	22436
930	10089	22423
931	10098	22408
932	10108	22393
933	10118	22381
934	10128	22369
935	10140	22361
936	10151	22350
937	10160	22336
938	10171	22324
939	10182	22314
940	10192	22301
941	10202	22289
942	10212	22275
943	10222	22263
944	10233	22254
945	10243	22241
946	10253	22229
947	10263	22215
948	10273	22202
949	10283	22190
950	10293	22177
951	10303	22165
952	10314	22154
953	10323	22141
954	10335	22131
955	10345	22119
956	10356	22108
957	10366	22097
958	10376	22083
959	10386	22071
960	10398	22062
961	10407	22048
962	10418	22037
963	10428	22026
964	10438	22013
965	10450	22003
966	10459	21990
967	10469	21978
968	10480	21967
969	10490	21954
970	10501	21942
971	10513	21934
972	10525	21926
973	10536	21917
974	10550	21913
975	10565	21909
976	10578	21904
977	10592	21900
978	10606	21895
979	10619	21888
980	10634	21886
981	10648	21883
982	10662	21878
983	10675	21870
984	10687	21863
985	10700	21857
986	10713	21850
987	10727	21845
988	10741	21840
989	10751	21829
990	10762	21817
991	10772	21805
992	10782	21793
993	10793	21782
994	10802	21768
995	10812	21755
996	10824	21746
997	10834	21734
998	10845	21723
999	10855	21710
1000	10866	21700
1001	10876	21688
1002	10886	21674
1003	10896	21662
1004	10906	21649
1005	10915	21636
1006	10926	21625
1007	10936	21613
1008	10950	21607
1009	10962	21599
1010	10972	21586
1011	10981	21573
1012	11015	21606
1013	11053	21648
1014	11074	21657
1015	11083	21644
1016	11094	21633
1017	11104	21619
1018	11114	21608
1019	11125	21596
1020	11135	21583
1021	11146	21572
